"행정구역(시군구)별",2021. 04,2021. 04,2021. 04,2021. 05,2021. 05,2021. 05,2021. 06,2021. 06,2021. 06
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국",51702100,25784538,25917562,51683025,25775853,25907172,51672400,25770033,25902367
"서울특별시",9588711,4661711,4927000,9575355,4654720,4920635,9565990,4649442,4916548
"종로구",147113,71567,75546,146377,71204,75173,146029,70985,75044
"중구",124477,60787,63690,123133,60106,63027,123016,60019,62997
"용산구",228755,110038,118717,227515,109494,118021,226378,108948,117430
"성동구",291534,142277,149257,289656,141358,148298,289162,141042,148120
"광진구",343006,165555,177451,342812,165461,177351,342481,165233,177248
"동대문구",338480,167643,170837,338233,167463,170770,338040,167335,170705
"중랑구",391502,193444,198058,390476,192923,197553,389972,192688,197284
"성북구",434383,209667,224716,433988,209407,224581,433658,209210,224448
"강북구",303622,148033,155589,303154,147824,155330,302645,147542,155103
"도봉구",321227,156570,164657,320687,156282,164405,320365,156080,164285
"노원구",517417,249522,267895,516552,249029,267523,515997,248719,267278
"은평구",474843,227446,247397,475143,227496,247647,475371,227584,247787
"서대문구",307825,147264,160561,307406,147056,160350,307070,146844,160226
"마포구",369577,174050,195527,369970,174194,195776,370132,174200,195932
"양천구",452112,221708,230404,451541,221431,230110,450992,221140,229852
"강서구",577580,278466,299114,577484,278408,299076,577519,278360,299159
"구로구",400399,197653,202746,399950,197398,202552,399266,197034,202232
"금천구",229639,116211,113428,229823,116292,113531,230168,116491,113677
"영등포구",377696,186652,191044,377577,186564,191013,377421,186482,190939
"동작구",388672,188032,200640,388396,187942,200454,387847,187617,200230
"관악구",489464,245666,243798,489160,245552,243608,488800,245404,243396
"서초구",420318,201075,219243,419121,200485,218636,418407,200163,218244
"강남구",533579,255243,278336,532296,254558,277738,531375,254139,277236
"송파구",660160,318374,341786,659446,317981,341465,658670,317531,341139
"강동구",465331,228768,236563,465459,228812,236647,465209,228652,236557
"부산광역시",3369704,1650252,1719452,3367334,1648965,1718369,3364358,1647291,1717067
"중구",41311,20122,21189,41209,20065,21144,40561,19799,20762
"서구",106545,51621,54924,106556,51591,54965,106422,51510,54912
"동구",88159,43185,44974,88080,43109,44971,87916,43012,44904
"영도구",111387,54958,56429,111574,55016,56558,111685,55061,56624
"부산진구",357193,172498,184695,356706,172228,184478,356091,171921,184170
"동래구",268996,130880,138116,268616,130672,137944,268391,130542,137849
"남구",265194,129786,135408,264679,129523,135156,264098,129199,134899
"북구",282073,139491,142582,283138,140032,143106,283612,140238,143374
"해운대구",399821,192392,207429,399222,192102,207120,399015,191985,207030
"사하구",308684,153718,154966,308036,153413,154623,307559,153124,154435
"금정구",230204,112515,117689,229704,112308,117396,229222,112056,117166
"강서구",139652,72239,67413,140215,72541,67674,140720,72824,67896
"연제구",206979,99693,107286,206547,99464,107083,206239,99280,106959
"수영구",176276,83320,92956,176062,83210,92852,175877,83071,92806
"사상구",210943,106530,104413,210579,106324,104255,210333,106185,104148
"기장군",176287,87304,88983,176411,87367,89044,176617,87484,89133
"대구광역시",2406296,1186663,1219633,2402940,1184977,1217963,2397646,1182380,1215266
"중구",75366,36199,39167,75133,36106,39027,74727,35922,38805
"동구",342468,168584,173884,341730,168209,173521,340693,167668,173025
"서구",169022,84624,84398,168704,84423,84281,167773,83975,83798
"남구",146188,70219,75969,146066,70118,75948,145105,69755,75350
"북구",438248,218144,220104,437892,218036,219856,437333,217669,219664
"수성구",421840,204076,217764,420820,203573,217247,419979,203195,216784
"달서구",552975,272745,280230,552192,272325,279867,551490,271953,279537
"달성군",260189,132072,128117,260403,132187,128216,260546,132243,128303
"인천광역시",2936214,1470490,1465724,2936382,1470528,1465854,2936367,1470544,1465823
"중구",139548,72529,67019,139930,72745,67185,140175,72886,67289
"중구영종출장소",0,0,0,0,0,0,0,0,0
"중구용유출장소",0,0,0,0,0,0,0,0,0
"동구",61680,31159,30521,61530,31066,30464,61436,31040,30396
"미추홀구",403999,203495,200504,404236,203564,200672,404618,203742,200876
"연수구",390807,194282,196525,390971,194351,196620,390827,194215,196612
"남동구",522330,259335,262995,521719,259035,262684,521340,258876,262464
"부평구",490968,242605,248363,490970,242647,248323,490609,242460,248149
"계양구",296947,147993,148954,296705,147864,148841,296442,147719,148723
"서구",540532,273007,267525,540790,273106,267684,541304,273411,267893
