"행정구역(시군구)별",2021. 04,2021. 05,2021. 06
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명)
"전국",51702100,51683025,51672400
"서울특별시",9588711,9575355,9565990
"부산광역시",3369704,3367334,3364358
"대구광역시",2406296,2402940,2397646
"인천광역시",2936214,2936382,2936367
"광주광역시",1444787,1443154,1442647
"대전광역시",1457619,1457161,1456107
"울산광역시",1128163,1127175,1126369
"세종특별자치시",361396,362036,362995
"경기도",13479798,13488910,13500688
"강원도",1536175,1535491,1535530
"충청북도",1596303,1596955,1597503
"충청남도",2116452,2117260,2117400
"전라북도",1796331,1794682,1794345
"전라남도",1844148,1842423,1840921
"경상북도",2635896,2633592,2632401
"경상남도",3329623,3327298,3325840
"제주특별자치도",674484,674877,675293
